Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T15:00:00.0000000+00:00,1/1/2024 3:00:00 PM,1177.8434988125,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T15:00:00.0000000+00:00,1/1/2024 3:00:00 PM,654.357499340278,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T16:00:00.0000000+00:00,1/1/2024 4:00:00 PM,153.340646916016,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T16:00:00.0000000+00:00,1/1/2024 4:00:00 PM,85.1892482866754,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T17:00:00.0000000+00:00,1/1/2024 5:00:00 PM,62.3383874765625,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T17:00:00.0000000+00:00,1/1/2024 5:00:00 PM,34.6324374869792,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T18:00:00.0000000+00:00,1/1/2024 6:00:00 PM,59.4420971074219,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T18:00:00.0000000+00:00,1/1/2024 6:00:00 PM,33.0233872819011,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T19:00:00.0000000+00:00,1/1/2024 7:00:00 PM,60.8837363964844,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T19:00:00.0000000+00:00,1/1/2024 7:00:00 PM,33.8242979980469,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T20:00:00.0000000+00:00,1/1/2024 8:00:00 PM,58.6139732998047,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T20:00:00.0000000+00:00,1/1/2024 8:00:00 PM,32.5633184998915,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T21:00:00.0000000+00:00,1/1/2024 9:00:00 PM,57.4144665390625,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T21:00:00.0000000+00:00,1/1/2024 9:00:00 PM,31.8969258550347,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T22:00:00.0000000+00:00,1/1/2024 10:00:00 PM,58.8148436914063,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T22:00:00.0000000+00:00,1/1/2024 10:00:00 PM,32.6749131618924,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T23:00:00.0000000+00:00,1/1/2024 11:00:00 PM,49.997912484375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T23:00:00.0000000+00:00,1/1/2024 11:00:00 PM,27.776618046875,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T00:00:00.0000000+00:00,1/2/2024 12:00:00 AM,48.4520009462891,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T00:00:00.0000000+00:00,1/2/2024 12:00:00 AM,26.9177783034939,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T01:00:00.0000000+00:00,1/2/2024 1:00:00 AM,47.7316745087891,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T01:00:00.0000000+00:00,1/2/2024 1:00:00 AM,26.5175969493273,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T02:00:00.0000000+00:00,1/2/2024 2:00:00 AM,48.4518007373047,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T02:00:00.0000000+00:00,1/2/2024 2:00:00 AM,26.9176670762804,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T03:00:00.0000000+00:00,1/2/2024 3:00:00 AM,47.4810660244141,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T03:00:00.0000000+00:00,1/2/2024 3:00:00 AM,26.3783700135634,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T04:00:00.0000000+00:00,1/2/2024 4:00:00 AM,47.9252539580078,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T04:00:00.0000000+00:00,1/2/2024 4:00:00 AM,26.6251410877821,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T05:00:00.0000000+00:00,1/2/2024 5:00:00 AM,48.6148649541016,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T05:00:00.0000000+00:00,1/2/2024 5:00:00 AM,27.0082583078342,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T06:00:00.0000000+00:00,1/2/2024 6:00:00 AM,2229.50845502637,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T06:00:00.0000000+00:00,1/2/2024 6:00:00 AM,1238.61580834798,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T07:00:00.0000000+00:00,1/2/2024 7:00:00 AM,1643.3944561875,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T07:00:00.0000000+00:00,1/2/2024 7:00:00 AM,912.996920104167,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T08:00:00.0000000+00:00,1/2/2024 8:00:00 AM,1638.4714321875,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T08:00:00.0000000+00:00,1/2/2024 8:00:00 AM,910.261906770833,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T09:00:00.0000000+00:00,1/2/2024 9:00:00 AM,1649.23630759375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T09:00:00.0000000+00:00,1/2/2024 9:00:00 AM,916.242393107639,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T10:00:00.0000000+00:00,1/2/2024 10:00:00 AM,1647.85638228125,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T10:00:00.0000000+00:00,1/2/2024 10:00:00 AM,915.475767934028,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T11:00:00.0000000+00:00,1/2/2024 11:00:00 AM,1649.3942661875,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T11:00:00.0000000+00:00,1/2/2024 11:00:00 AM,916.330147881944,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T12:00:00.0000000+00:00,1/2/2024 12:00:00 PM,1649.890794375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T12:00:00.0000000+00:00,1/2/2024 12:00:00 PM,916.605996875,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T13:00:00.0000000+00:00,1/2/2024 1:00:00 PM,1649.6947729375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T13:00:00.0000000+00:00,1/2/2024 1:00:00 PM,916.497096076389,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T14:00:00.0000000+00:00,1/2/2024 2:00:00 PM,1654.41717875,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T14:00:00.0000000+00:00,1/2/2024 2:00:00 PM,919.120654861111,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T15:00:00.0000000+00:00,1/2/2024 3:00:00 PM,1660.0788234375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T15:00:00.0000000+00:00,1/2/2024 3:00:00 PM,922.266013020833,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T16:00:00.0000000+00:00,1/2/2024 4:00:00 PM,189.560121409179,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T16:00:00.0000000+00:00,1/2/2024 4:00:00 PM,105.311178560655,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T17:00:00.0000000+00:00,1/2/2024 5:00:00 PM,46.2656190332031,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T17:00:00.0000000+00:00,1/2/2024 5:00:00 PM,25.7031216851128,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T18:00:00.0000000+00:00,1/2/2024 6:00:00 PM,47.4378444404297,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T18:00:00.0000000+00:00,1/2/2024 6:00:00 PM,26.3543580224609,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T19:00:00.0000000+00:00,1/2/2024 7:00:00 PM,47.4435696728516,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T19:00:00.0000000+00:00,1/2/2024 7:00:00 PM,26.3575387071397,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-02T20:00:00.0000000+00:00,1/2/2024 8:00:00 PM,43.9672918320313,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-02T20:00:00.0000000+00:00,1/2/2024 8:00:00 PM,24.4262732400174,,17888,Ventilation Loft
