Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,151.593614779722,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,59.4727040080944,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,59.1755697556889,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,23858.7133508961,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,151.000189114722,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,59.5482981675583,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,59.2383369989333,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,23858.8549755683,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,146.254105692222,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,60.1602710427306,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,59.7541714396806,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,5378.32116636111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,5378.32116636111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,23859.1106503759,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,277.886694707778,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,61.5076484099,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,45.2449754654444,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T06:00:00.0000000+00:00,9/1/2023 6:00:00 AM,2889.81084252778,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T06:00:00.0000000+00:00,9/1/2023 6:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T06:00:00.0000000+00:00,9/1/2023 6:00:00 AM,2889.81084252778,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T06:00:00.0000000+00:00,9/1/2023 6:00:00 AM,23859.302911055,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T06:00:00.0000000+00:00,9/1/2023 6:00:00 AM,149.8133408375,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T06:00:00.0000000+00:00,9/1/2023 6:00:00 AM,60.5691355939472,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T06:00:00.0000000+00:00,9/1/2023 6:00:00 AM,43.2998244459611,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T07:00:00.0000000+00:00,9/1/2023 7:00:00 AM,1896.27647022222,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T07:00:00.0000000+00:00,9/1/2023 7:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T07:00:00.0000000+00:00,9/1/2023 7:00:00 AM,1896.27647022222,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T07:00:00.0000000+00:00,9/1/2023 7:00:00 AM,23859.449758652,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T07:00:00.0000000+00:00,9/1/2023 7:00:00 AM,148.640362951389,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T07:00:00.0000000+00:00,9/1/2023 7:00:00 AM,60.6935280376805,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T07:00:00.0000000+00:00,9/1/2023 7:00:00 AM,49.3376117673333,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T08:00:00.0000000+00:00,9/1/2023 8:00:00 AM,2612.21245891667,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T08:00:00.0000000+00:00,9/1/2023 8:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T08:00:00.0000000+00:00,9/1/2023 8:00:00 AM,2612.21245891667,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T08:00:00.0000000+00:00,9/1/2023 8:00:00 AM,23859.5960811989,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T08:00:00.0000000+00:00,9/1/2023 8:00:00 AM,151.000394057222,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T08:00:00.0000000+00:00,9/1/2023 8:00:00 AM,60.7400899606972,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T08:00:00.0000000+00:00,9/1/2023 8:00:00 AM,45.3636670525667,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T09:00:00.0000000+00:00,9/1/2023 9:00:00 AM,2159.45921783333,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T09:00:00.0000000+00:00,9/1/2023 9:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T09:00:00.0000000+00:00,9/1/2023 9:00:00 AM,2159.45921783333,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T09:00:00.0000000+00:00,9/1/2023 9:00:00 AM,23859.7463167071,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T09:00:00.0000000+00:00,9/1/2023 9:00:00 AM,143.867778267778,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T09:00:00.0000000+00:00,9/1/2023 9:00:00 AM,59.9546187638333,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T09:00:00.0000000+00:00,9/1/2023 9:00:00 AM,46.4396695166278,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T10:00:00.0000000+00:00,9/1/2023 10:00:00 AM,2159.37632402778,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T10:00:00.0000000+00:00,9/1/2023 10:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T10:00:00.0000000+00:00,9/1/2023 10:00:00 AM,2159.37632402778,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T10:00:00.0000000+00:00,9/1/2023 10:00:00 AM,23859.8974161651,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T10:00:00.0000000+00:00,9/1/2023 10:00:00 AM,154.091800780833,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T10:00:00.0000000+00:00,9/1/2023 10:00:00 AM,59.3051660882389,°C,15456,Billing heatmeter MC602
