Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-11-01T03:00:00.0000000+00:00,11/1/2023 3:00:00 AM,869.326788610278,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-11-01T03:00:00.0000000+00:00,11/1/2023 3:00:00 AM,63.9653330996,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-11-01T03:00:00.0000000+00:00,11/1/2023 3:00:00 AM,43.6404648173472,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T04:00:00.0000000+00:00,11/1/2023 4:00:00 AM,23689.4719646389,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-11-01T04:00:00.0000000+00:00,11/1/2023 4:00:00 AM,577000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-11-01T04:00:00.0000000+00:00,11/1/2023 4:00:00 AM,23689.4719646389,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-11-01T04:00:00.0000000+00:00,11/1/2023 4:00:00 AM,24302.2801352489,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-11-01T04:00:00.0000000+00:00,11/1/2023 4:00:00 AM,1048.39699160278,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-11-01T04:00:00.0000000+00:00,11/1/2023 4:00:00 AM,63.8943734351139,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-11-01T04:00:00.0000000+00:00,11/1/2023 4:00:00 AM,42.6464171962472,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T05:00:00.0000000+00:00,11/1/2023 5:00:00 AM,30687.6737435833,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-11-01T05:00:00.0000000+00:00,11/1/2023 5:00:00 AM,577000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-11-01T05:00:00.0000000+00:00,11/1/2023 5:00:00 AM,30687.6737435833,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-11-01T05:00:00.0000000+00:00,11/1/2023 5:00:00 AM,24303.6335730494,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-11-01T05:00:00.0000000+00:00,11/1/2023 5:00:00 AM,1348.29398908333,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-11-01T05:00:00.0000000+00:00,11/1/2023 5:00:00 AM,64.9037106206333,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-11-01T05:00:00.0000000+00:00,11/1/2023 5:00:00 AM,44.1376789476667,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T06:00:00.0000000+00:00,11/1/2023 6:00:00 AM,32636.8809508889,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-11-01T06:00:00.0000000+00:00,11/1/2023 6:00:00 AM,577000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-11-01T06:00:00.0000000+00:00,11/1/2023 6:00:00 AM,32636.8809508889,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-11-01T06:00:00.0000000+00:00,11/1/2023 6:00:00 AM,24304.900972343,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-11-01T06:00:00.0000000+00:00,11/1/2023 6:00:00 AM,1419.12884782472,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-11-01T06:00:00.0000000+00:00,11/1/2023 6:00:00 AM,67.2680559105195,°C,15456,Billing heatmeter MC602
