Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-03-01T03:00:00.0000000+00:00,3/1/2024 3:00:00 AM,927.345991351111,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-03-01T03:00:00.0000000+00:00,3/1/2024 3:00:00 AM,63.8585862945694,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-03-01T03:00:00.0000000+00:00,3/1/2024 3:00:00 AM,43.778089709325,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T04:00:00.0000000+00:00,3/1/2024 4:00:00 AM,17197.3442900555,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T04:00:00.0000000+00:00,3/1/2024 4:00:00 AM,625000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-03-01T04:00:00.0000000+00:00,3/1/2024 4:00:00 AM,17197.3442900555,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-03-01T04:00:00.0000000+00:00,3/1/2024 4:00:00 AM,26411.6073114788,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-03-01T04:00:00.0000000+00:00,3/1/2024 4:00:00 AM,734.734634434167,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-03-01T04:00:00.0000000+00:00,3/1/2024 4:00:00 AM,63.9462650741528,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-03-01T04:00:00.0000000+00:00,3/1/2024 4:00:00 AM,42.78567549225,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T05:00:00.0000000+00:00,3/1/2024 5:00:00 AM,22739.1437497778,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T05:00:00.0000000+00:00,3/1/2024 5:00:00 AM,625000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-03-01T05:00:00.0000000+00:00,3/1/2024 5:00:00 AM,22739.1437497778,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-03-01T05:00:00.0000000+00:00,3/1/2024 5:00:00 AM,26412.5262163542,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-03-01T05:00:00.0000000+00:00,3/1/2024 5:00:00 AM,992.1042018575,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-03-01T05:00:00.0000000+00:00,3/1/2024 5:00:00 AM,64.5970336149278,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-03-01T05:00:00.0000000+00:00,3/1/2024 5:00:00 AM,44.4966934376139,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T06:00:00.0000000+00:00,3/1/2024 6:00:00 AM,37431.574076,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T06:00:00.0000000+00:00,3/1/2024 6:00:00 AM,625000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-03-01T06:00:00.0000000+00:00,3/1/2024 6:00:00 AM,37431.574076,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-03-01T06:00:00.0000000+00:00,3/1/2024 6:00:00 AM,26413.599235057,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-03-01T06:00:00.0000000+00:00,3/1/2024 6:00:00 AM,1530.5086529425,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-03-01T06:00:00.0000000+00:00,3/1/2024 6:00:00 AM,68.6958594873417,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-03-01T06:00:00.0000000+00:00,3/1/2024 6:00:00 AM,47.4718593847778,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T07:00:00.0000000+00:00,3/1/2024 7:00:00 AM,35093.9186696944,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T07:00:00.0000000+00:00,3/1/2024 7:00:00 AM,625000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-03-01T07:00:00.0000000+00:00,3/1/2024 7:00:00 AM,35093.9186696944,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-03-01T07:00:00.0000000+00:00,3/1/2024 7:00:00 AM,26415.2865196153,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-03-01T07:00:00.0000000+00:00,3/1/2024 7:00:00 AM,1549.94215230306,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-03-01T07:00:00.0000000+00:00,3/1/2024 7:00:00 AM,71.94726268705,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-03-01T07:00:00.0000000+00:00,3/1/2024 7:00:00 AM,51.9338010628889,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T08:00:00.0000000+00:00,3/1/2024 8:00:00 AM,27741.455343,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T08:00:00.0000000+00:00,3/1/2024 8:00:00 AM,625000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-03-01T08:00:00.0000000+00:00,3/1/2024 8:00:00 AM,27741.455343,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-03-01T08:00:00.0000000+00:00,3/1/2024 8:00:00 AM,26416.6072799907,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-03-01T08:00:00.0000000+00:00,3/1/2024 8:00:00 AM,1141.97552036222,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-03-01T08:00:00.0000000+00:00,3/1/2024 8:00:00 AM,67.4911697061917,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-03-01T08:00:00.0000000+00:00,3/1/2024 8:00:00 AM,44.8694252990861,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T09:00:00.0000000+00:00,3/1/2024 9:00:00 AM,27942.3568671667,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T09:00:00.0000000+00:00,3/1/2024 9:00:00 AM,625000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-03-01T09:00:00.0000000+00:00,3/1/2024 9:00:00 AM,27942.3568671667,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-03-01T09:00:00.0000000+00:00,3/1/2024 9:00:00 AM,26417.8424012504,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-03-01T09:00:00.0000000+00:00,3/1/2024 9:00:00 AM,1158.1036766775,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-03-01T09:00:00.0000000+00:00,3/1/2024 9:00:00 AM,65.420340082225,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-03-01T09:00:00.0000000+00:00,3/1/2024 9:00:00 AM,43.6537434766722,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T10:00:00.0000000+00:00,3/1/2024 10:00:00 AM,27293.2650293611,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T10:00:00.0000000+00:00,3/1/2024 10:00:00 AM,625000,kWh,15456,Billing heatmeter MC602
